complaint_id,complaint_timestamp,response_timestamp,resolve_timestamp,ticket_status,customer_status,source,brand,purchase_channel,outlet,complaint_type,issue_detail,responsible_area
CMP-0001,2025-03-24 11:34:00,2025-03-24 11:58:00,2025-03-24 12:19:00,SOLVED,Refund,Whatsapp,Moon Chicken,Take Away,Tebet,Waktu pengiriman terlalu lama,Driver delay,Admin
CMP-0002,2025-01-16 18:39:00,2025-01-16 18:53:00,2025-01-16 19:18:00,SOLVED,Refund,Feedback,Ayam Koplo,Platform,Kemang,Rasa tidak sesuai,Keasinan,QC
CMP-0003,2025-06-13 12:12:00,2025-06-13 12:20:00,,HANDLING,In progress,Whatsapp,Moon Chicken,App,Tebet,Produk tidak sesuai dengan order,Varian salah,Checker
CMP-0004,2025-02-16 20:55:00,2025-02-16 21:07:00,2025-02-16 21:38:00,SOLVED,Forgiven,Feedback,Moon Chicken,Take Away,Pamulang,Porsi tidak sesuai,Ukuran tidak sesuai,AM
CMP-0005,2025-06-21 10:19:00,2025-06-21 10:22:00,2025-06-21 10:55:00,SOLVED,Forgiven,Feedback,San Gyu,Phone,Cikini,Produk tidak sesuai dengan order,Varian salah,Checker
CMP-0006,2025-06-21 14:55:00,2025-06-21 15:03:00,2025-06-21 15:16:00,SOLVED,Forgiven,App,Bude Sari,Platform,Cikini,Order tidak lengkap,Item kurang,Checker
CMP-0007,2025-04-13 18:22:00,2025-04-13 18:28:00,2025-04-13 20:39:00,SOLVED,Refund,Social Media,Ayam Koplo,Phone,BSD,Packaging issue,Kemasan rusak,AM
CMP-0008,2025-06-06 18:39:00,2025-06-06 18:45:00,2025-06-06 19:49:00,SOLVED,Refund,Feedback,Ayam Koplo,Phone,Kemang,Produk tidak sesuai dengan order,Varian salah,Checker
CMP-0009,2025-03-29 19:15:00,2025-03-29 19:19:00,,VALIDATING,Missing proof,App,Moon Chicken,Platform,Kemang,Order tidak lengkap,Minuman tidak ada,Checker
CMP-0010,2025-02-01 10:58:00,2025-02-01 11:04:00,2025-02-01 13:13:00,SOLVED,Misunderstanding clarified,Feedback,Bude Sari,Take Away,Cibubur,Tech issue,App error,Tech Team
CMP-0011,2025-01-07 21:56:00,2025-01-07 22:02:00,2025-01-07 23:19:00,SOLVED,Refund,Social Media,Moon Chicken,App,Pamulang,Packaging issue,Kemasan bocor,AM
CMP-0012,2025-02-28 12:24:00,2025-02-28 12:31:00,2025-02-28 13:58:00,EXPIRED,No response,Whatsapp,San Gyu,Take Away,Kemang,Tech issue,Voucher error,Driver
CMP-0013,2025-01-21 12:45:00,2025-01-21 12:48:00,2025-01-21 13:52:00,EXPIRED,No response,App,Ayam Koplo,Take Away,Cibubur,Rasa tidak sesuai,Keasinan,Checker
CMP-0014,2025-04-10 21:08:00,2025-04-10 21:21:00,2025-04-10 22:59:00,SOLVED,Refund,Feedback,Bude Sari,Take Away,Pluit,Porsi tidak sesuai,Porsi terlalu sedikit,AM
CMP-0015,2025-04-30 20:11:00,2025-04-30 20:19:00,,HANDLING,In progress,Social Media,Dari Pada,App,Cibubur,Tekstur tidak sesuai,Daging kering,QC
CMP-0016,2025-02-24 09:28:00,2025-02-24 09:32:00,2025-02-24 10:16:00,SOLVED,Forgiven,App,Ayam Koplo,Take Away,Pamulang,Packaging issue,Label tidak sesuai,AM
CMP-0017,2025-02-08 17:56:00,2025-02-08 17:59:00,2025-02-08 22:04:00,SOLVED,Forgiven,Whatsapp,Bude Sari,App,Pluit,Order tidak lengkap,Minuman tidak ada,Checker
CMP-0018,2025-02-18 13:43:00,2025-02-18 13:49:00,2025-02-18 14:58:00,SOLVED,Forgiven,Whatsapp,Moon Chicken,Platform,Cibubur,Order tidak lengkap,Minuman tidak ada,Checker
CMP-0019,2025-05-03 17:39:00,2025-05-03 17:43:00,2025-05-03 18:45:00,SOLVED,Replacement sent,App,Dari Pada,Phone,Pamulang,Porsi tidak sesuai,Porsi terlalu sedikit,AM
CMP-0020,2025-02-01 11:38:00,2025-02-01 11:44:00,2025-02-01 12:07:00,SOLVED,Misunderstanding clarified,App,Ayam Koplo,Phone,Pamulang,Produk tidak sesuai dengan order,Varian salah,Checker
CMP-0021,2025-03-23 10:34:00,2025-03-23 10:46:00,,VALIDATING,Missing proof,Feedback,Moon Chicken,Phone,Cikini,Produk tidak sesuai dengan order,Menu tertukar,QC
CMP-0022,2025-01-27 10:26:00,2025-01-27 11:10:00,,HANDLING,In progress,App,San Gyu,Take Away,Kemang,Packaging issue,Kemasan rusak,AM
CMP-0023,2025-05-12 18:44:00,2025-05-12 18:56:00,2025-05-12 21:33:00,SOLVED,Replacement sent,Social Media,San Gyu,Platform,Tebet,Tech issue,Pembayaran gagal,Tech Team
CMP-0024,2025-02-26 10:08:00,2025-02-26 10:30:00,2025-02-26 16:49:00,SOLVED,Refund,Whatsapp,Moon Chicken,Take Away,Cibubur,Packaging issue,Kemasan bocor,Admin
CMP-0025,2025-01-13 12:05:00,2025-01-13 12:11:00,,VALIDATING,Missing proof,App,San Gyu,Take Away,Pamulang,Porsi tidak sesuai,Porsi terlalu sedikit,AM
CMP-0026,2025-05-10 18:24:00,2025-05-10 18:30:00,2025-05-10 21:16:00,SOLVED,Refund,App,Dari Pada,Phone,Cibubur,Porsi tidak sesuai,Porsi terlalu sedikit,AM
CMP-0027,2025-06-12 11:23:00,2025-06-12 11:28:00,2025-06-12 18:21:00,SOLVED,Refund,App,San Gyu,Platform,Kemang,Waktu pengiriman terlalu lama,Order menunggu terlalu lama,Admin
CMP-0028,2025-02-17 11:41:00,2025-02-17 11:49:00,2025-02-17 15:09:00,SOLVED,Replacement sent,Social Media,Bude Sari,Take Away,Kemang,Packaging issue,Kemasan rusak,AM
CMP-0029,2025-05-02 13:45:00,2025-05-02 13:57:00,2025-05-02 15:16:00,SOLVED,Refund,Whatsapp,Ayam Koplo,Take Away,Kemang,Porsi tidak sesuai,Porsi terlalu sedikit,AM
CMP-0030,2025-05-16 21:48:00,2025-05-16 21:49:00,2025-05-16 23:20:00,EXPIRED,No response,Social Media,Dari Pada,Phone,BSD,Tekstur tidak sesuai,Daging kering,Kitchen
